CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Fraud,RiskScore,BalancePerProduct,AgeRisk,HighValueCustomer,LowCreditRisk,MarketingScore,ComplainFlag,LowSatisfaction,OperationalRiskScore
520,Spain,Female,42,6,11983969.0,2,1,1,3441055.0000000005,0,0,2,SILVER,922,0,0,0.0,0,0,0,1,0,1,1
722,Spain,Female,29,9,11983969.0,2,1,1,14203307.0,0,0,5,PLATINUM,276,0,0,0.0,0,0,0,1,0,0,0
475,France,Female,45,0,13426404.0,1,1,0,2782299.0,1,1,1,DIAMOND,877,1,4,67132.02,0,1,1,2,1,1,3
490,Spain,Male,31,3,14526023.000000002,1,0,1,11406677.0,0,0,4,SILVER,471,0,2,72630.115,0,1,1,3,0,0,0
804,Spain,Male,33,7,7654860.000000001,1,0,1,9845345.0,0,0,2,GOLD,994,0,0,38274.3,0,0,0,1,0,1,1
850,France,Male,36,7,11983969.0,1,1,1,4081290.0,0,0,3,GOLD,944,0,0,0.0,0,0,0,0,0,0,0
582,Germany,Male,41,6,7034948.0,2,0,1,17807404.0,0,0,5,GOLD,419,0,0,23449.826666666664,0,0,0,1,0,0,0
472,Spain,Male,40,4,11983969.0,1,1,0,7015422.0,0,0,4,DIAMOND,545,0,2,0.0,0,0,1,2,0,0,1
465,France,Female,51,8,12252232.0,1,0,0,18129765.0,1,1,5,SILVER,828,0,4,61261.16,0,1,1,2,1,0,2
556,France,Female,61,2,11741935.0,1,1,1,9415383.0,0,0,3,PLATINUM,789,0,1,58709.675,1,1,0,1,0,0,0
834,France,Female,49,2,13139456.0,1,0,0,19436576.0,1,1,2,GOLD,567,0,3,65697.28,0,1,0,1,1,1,3
660,Spain,Female,61,5,15593110.999999998,1,1,1,15833839.000000002,0,0,1,PLATINUM,884,0,1,77965.555,1,1,0,2,0,1,1
776,Germany,Female,32,4,10942113.0,2,1,1,12651746.0,0,0,1,SILVER,296,0,1,36473.71,0,1,0,2,0,1,1
829,Germany,Female,27,9,11204567.0,1,1,1,11970821.0,1,1,3,DIAMOND,779,0,2,56022.835,0,1,0,2,1,0,1
637,Germany,Female,39,9,13784379.999999998,1,1,1,11762280.0,1,1,1,SILVER,730,0,2,68921.9,0,1,0,2,1,1,2
550,Germany,Male,38,2,10339138.0,1,0,1,9087813.0,0,0,3,DIAMOND,960,0,1,51695.69,0,1,0,2,0,0,0
776,Germany,Female,37,2,10376922.0,2,1,0,19409912.0,0,0,1,SILVER,268,0,2,34589.74,0,1,0,2,0,1,2
698,Germany,Male,44,10,11636337.0,2,1,0,19805916.0,0,0,4,SILVER,829,0,2,38787.79,0,1,0,2,0,0,1
585,Germany,Male,36,5,14605097.0,2,0,0,8642457.0,0,0,3,SILVER,665,0,2,48683.65666666667,0,1,0,2,0,0,1
788,France,Female,33,5,11983969.0,2,0,0,11697819.0,0,0,3,GOLD,982,0,1,0.0,0,0,0,0,0,0,1
655,Germany,Male,41,8,12556197.0,1,0,0,16404094.0,1,1,3,SILVER,343,0,3,62780.985,0,1,0,2,1,0,2
601,Germany,Male,42,1,9849572.0,1,1,0,4001476.0,1,1,2,DIAMOND,225,1,2,49247.86,0,0,0,1,1,1,3
619,France,Male,43,1,12521192.0,1,1,1,11341049.0,0,0,5,SILVER,657,0,1,62605.96,0,1,0,1,0,0,0
656,France,Male,45,5,12786440.0,1,1,0,8710757.0,0,0,2,PLATINUM,221,0,2,63932.2,0,1,0,1,0,1,2
725,Germany,Male,19,0,7588820.0,1,0,0,4561375.0,0,0,2,PLATINUM,406,0,1,37944.1,1,0,0,1,0,1,2
511,Spain,Female,66,4,11983969.0,1,1,0,164311.0,1,1,5,SILVER,549,0,2,0.0,1,0,0,1,1,0,2
614,France,Male,51,4,4068592.0,1,1,1,4677528.0,0,0,4,PLATINUM,954,0,0,20342.96,0,0,0,0,0,0,0
742,Germany,Male,35,5,13685700.0,1,0,0,8450957.0,0,0,4,GOLD,823,0,2,68428.5,0,1,0,2,0,0,1
687,Germany,Female,27,9,15232888.0,2,0,0,12649482.0,0,0,5,DIAMOND,769,0,2,50776.293333333335,0,1,0,2,0,0,1
555,Spain,Male,33,1,5608469.0,2,0,0,17879813.0,0,0,5,PLATINUM,481,0,1,18694.896666666667,0,0,0,1,0,0,1
684,Spain,Male,56,8,7870716.0,1,1,1,9939836.0,0,0,4,SILVER,903,0,0,39353.58,0,0,0,1,0,0,0
603,Germany,Male,26,4,10916637.0,1,1,1,9284067.0,0,0,3,PLATINUM,882,0,1,54583.185,0,1,0,2,0,0,0
751,Germany,Female,36,6,16983146.0,2,1,1,2775836.0,0,1,5,GOLD,379,0,2,56610.486666666664,0,1,0,2,1,0,1
581,Germany,Female,34,1,10163304.0,1,1,0,11043151.0,0,1,3,PLATINUM,469,0,3,50816.52,0,1,0,2,1,0,2
735,Germany,Male,43,10,12318001.0,2,1,1,19667328.0,0,1,3,PLATINUM,683,0,2,41060.003333333334,0,1,0,2,1,0,1
661,Germany,Female,35,5,15072553.0,2,0,1,11365685.0,0,1,1,GOLD,770,0,2,50241.84333333333,0,1,0,2,1,1,2
675,France,Female,21,8,9837326.0,1,1,0,1820300.0,0,0,5,SILVER,985,0,1,49186.63,1,0,0,0,0,0,1
738,Germany,Male,58,2,13374544.0,4,1,0,2837386.0,1,1,4,GOLD,725,0,3,26749.088,0,1,0,2,1,0,2
813,France,Male,29,6,11983969.0,1,1,0,3395387.0000000005,0,0,3,PLATINUM,259,0,1,0.0,0,0,0,0,0,0,1
657,Spain,Female,37,0,16360718.0,1,0,1,4420355.0,0,0,2,GOLD,979,0,1,81803.59,0,1,0,2,0,1,1
604,Germany,Female,25,5,15778084.0,2,1,1,5842681.0,0,0,2,SILVER,988,0,1,52593.613333333335,0,1,0,2,0,1,1
519,France,Male,36,9,11983969.0,2,0,1,14556240.0,0,0,2,PLATINUM,833,0,0,0.0,0,0,0,0,0,1,1
735,France,Female,21,1,17871819.0,2,1,0,2238800.0,0,0,1,PLATINUM,527,0,2,59572.73,1,1,0,1,0,1,2
664,France,Male,55,8,11983969.0,2,1,1,13916164.000000002,0,0,5,SILVER,220,0,0,0.0,0,0,0,0,0,0,0
678,France,Female,32,9,11983969.0,1,1,1,14821064.000000002,0,0,4,GOLD,983,0,0,0.0,0,0,0,0,0,0,0
757,Spain,Male,33,5,7725322.0,1,0,1,19423963.0,0,0,3,SILVER,582,0,0,38626.61,0,0,0,1,0,0,0
416,Germany,Female,41,10,12218966.0,2,1,0,9830161.0,0,0,3,SILVER,281,0,3,40729.886666666665,0,1,1,3,0,0,1
665,France,Female,34,1,9664554.0,2,0,0,17141366.0,0,0,3,DIAMOND,798,0,1,32215.179999999997,0,0,0,0,0,0,1
777,France,Female,32,2,11983969.0,1,1,0,13645819.0,1,1,5,SILVER,917,0,2,0.0,0,0,0,0,1,0,2
543,France,Female,36,3,11983969.0,2,0,0,2601959.0,0,0,2,DIAMOND,255,0,1,0.0,0,0,0,0,0,1,2
506,France,Female,34,4,9030762.0,1,1,1,15923529.0,0,0,4,SILVER,511,0,0,45153.81,0,0,0,0,0,0,0
493,France,Female,46,4,11983969.0,2,1,0,190766.0,0,0,1,SILVER,498,0,2,0.0,0,0,1,1,0,1,2
652,Spain,Female,75,10,11983969.0,2,1,1,11467575.0,0,0,5,DIAMOND,651,0,0,0.0,1,0,0,1,0,0,0
750,Spain,Male,22,3,12168182.0,1,1,0,12864335.0,1,1,2,SILVER,852,0,3,60840.91,1,1,0,2,1,1,3
729,France,Male,30,9,11983969.0,2,1,0,15186935.0,0,0,1,DIAMOND,807,0,1,0.0,0,0,0,0,0,1,2
646,France,Female,46,4,11983969.0,3,1,0,9325142.0,1,1,3,PLATINUM,470,0,2,0.0,0,0,0,0,1,0,2
635,Germany,Female,28,3,8162367.0,2,1,1,15679135.999999998,0,0,1,DIAMOND,659,0,0,27207.89,0,0,0,1,0,1,1
647,Spain,Female,44,5,11983969.0,3,1,1,17420522.0,1,1,3,DIAMOND,752,0,1,0.0,0,0,0,1,1,0,1
808,France,Male,45,7,11862655.0,2,1,0,14713246.0,0,0,1,SILVER,559,0,2,39542.183333333334,0,1,0,1,0,1,2
524,France,Female,36,10,11983969.0,2,1,0,10961457.0,0,0,2,GOLD,375,0,1,0.0,0,0,0,0,0,1,2
769,France,Male,29,8,11983969.0,2,1,1,17229061.0,0,0,2,DIAMOND,411,0,0,0.0,0,0,0,0,0,1,1
730,Spain,Male,42,4,11983969.0,2,0,1,8598247.0,0,0,4,DIAMOND,722,0,0,0.0,0,0,0,1,0,0,0
515,Spain,Male,35,10,17627395.0,1,0,1,12127778.0,0,0,1,GOLD,231,0,1,88136.975,0,1,0,2,0,1,1
773,Spain,Male,41,9,10282744.0,1,0,1,6459525.0,0,0,5,DIAMOND,488,0,1,51413.72,0,1,0,2,0,0,0
814,Germany,Male,29,8,9708640.0,2,1,1,19727613.0,0,0,2,GOLD,965,0,0,32362.13333333333,0,0,0,1,0,1,1
710,Spain,Male,22,8,11983969.0,2,0,0,9964504.0,0,0,4,SILVER,289,0,1,0.0,1,0,0,1,0,0,1
413,France,Male,34,9,11983969.0,2,0,0,653418.0,0,0,1,PLATINUM,449,0,2,0.0,0,0,1,1,0,1,2
665,France,Female,40,6,11983969.0,1,1,1,16184803.0,0,0,2,SILVER,651,0,0,0.0,0,0,0,0,0,1,1
623,France,Female,44,6,11983969.0,2,0,0,16716243.0,0,0,2,DIAMOND,520,0,1,0.0,0,0,0,0,0,1,2
738,France,Male,31,9,8267414.999999999,1,1,0,4197072.0,0,0,4,DIAMOND,234,0,1,41337.075,0,0,0,0,0,0,1
528,Spain,Male,36,7,11983969.0,2,1,0,6053656.0,0,0,5,SILVER,458,0,1,0.0,0,0,0,1,0,0,1
670,Spain,Female,65,1,11983969.0,1,1,1,17765568.0,1,1,2,GOLD,915,0,1,0.0,1,0,0,1,1,1,2
622,Spain,Female,46,4,10707327.0,2,1,1,3098459.0,1,1,3,GOLD,299,0,2,35691.090000000004,0,1,0,2,1,0,1
582,Germany,Male,32,1,8893862.0,1,1,1,1005453.0000000001,0,0,4,GOLD,838,0,0,44469.31,0,0,0,1,0,0,0
785,Germany,Female,36,2,9980685.0,1,0,1,3697651.9999999995,0,0,5,PLATINUM,786,0,0,49903.425,0,0,0,1,0,0,0
605,Spain,Male,33,5,15009279.999999998,1,0,0,7186278.999999999,0,0,3,DIAMOND,509,1,2,75046.4,0,1,0,2,0,0,1
479,Germany,Male,35,9,9283389.0,1,1,0,9944986.0,1,1,3,DIAMOND,328,0,3,46416.945,0,0,1,2,1,0,2
685,Germany,Male,30,3,9053681.0,1,0,1,6308288.0,0,0,4,SILVER,347,0,0,45268.405,0,0,0,1,0,0,0
538,Germany,Male,39,7,10805510.0,2,1,0,2723126.0,0,0,5,SILVER,534,0,2,36018.36666666667,0,1,0,2,0,0,1
562,France,Male,42,2,10023835.0,1,0,0,8679741.0,0,0,5,PLATINUM,709,0,2,50119.175,0,1,0,1,0,0,1
675,Spain,Male,36,9,10619055.0,1,0,1,2299432.0,0,0,4,SILVER,749,0,1,53095.275,0,1,0,2,0,0,0
721,Germany,Male,28,9,15447554.0,2,0,1,10130094.0,1,1,5,PLATINUM,541,0,2,51491.84666666667,0,1,0,2,1,0,1
628,Germany,Female,30,9,13235129.0,2,1,1,7416913.0,0,0,2,GOLD,736,0,1,44117.09666666667,0,1,0,2,0,1,1
668,Germany,Female,37,6,16786440.0,1,1,0,11563829.0,0,0,4,SILVER,529,0,2,83932.2,0,1,0,2,0,0,1
506,France,Female,41,1,11983969.0,2,1,0,3176630.0,0,0,4,GOLD,594,0,1,0.0,0,0,0,0,0,0,1
524,Germany,Female,31,8,10781863.0,1,1,0,19972539.0,1,1,1,SILVER,462,1,3,53909.315,0,1,0,2,1,1,3
699,Germany,Male,34,4,18517381.0,2,1,0,12083448.0,0,0,3,PLATINUM,429,0,2,61724.60333333333,0,1,0,2,0,0,1
828,France,Male,34,8,12943334.0,2,0,0,3813176.9999999995,0,0,4,SILVER,370,0,2,43144.44666666666,0,1,0,1,0,0,1
674,Spain,Male,39,6,12019342.0,1,0,0,10013095.0,0,0,1,PLATINUM,510,0,2,60096.71,0,1,0,2,0,1,2
656,France,Female,39,6,11983969.0,2,1,0,14106988.0,0,0,4,DIAMOND,638,0,1,0.0,0,0,0,0,0,0,1
684,Germany,Female,48,10,12638442.0,1,1,1,19812936.0,0,0,1,GOLD,462,0,1,63192.21,0,1,0,2,0,1,1
625,France,Female,28,3,11983969.0,1,0,0,18364641.0,0,0,4,GOLD,718,0,1,0.0,0,0,0,0,0,0,1
432,France,Male,42,9,15260345.000000002,1,1,0,11026524.0,1,1,3,DIAMOND,437,0,4,76301.725,0,1,1,2,1,0,2
549,France,Female,52,1,11983969.0,1,0,1,863604.9999999999,1,1,4,DIAMOND,485,0,1,0.0,0,0,0,0,1,0,1
625,Germany,Male,56,0,14850724.0,1,1,0,4682408.0,1,1,3,PLATINUM,410,0,3,74253.62,0,1,0,2,1,0,2
828,France,Female,41,7,11983969.0,2,1,0,17137877.0,0,0,2,PLATINUM,666,0,1,0.0,0,0,0,0,0,1,2
770,France,Male,24,9,10182707.0,1,1,0,16725635.0,0,0,4,GOLD,730,0,2,50913.535,1,1,0,1,0,0,1
758,France,Female,34,3,11983969.0,2,1,1,12422616.0,0,0,2,PLATINUM,375,0,0,0.0,0,0,0,0,0,1,1
795,Germany,Female,33,9,13086243.0,1,1,1,11493521.0,0,0,5,GOLD,411,0,1,65431.215,0,1,0,2,0,0,0
687,France,Male,38,9,12257087.0,1,1,1,3560887.9999999995,0,0,4,DIAMOND,595,0,1,61285.435,0,1,0,1,0,0,0
686,France,Male,25,1,11983969.0,2,0,1,1645937.0,0,0,1,DIAMOND,578,0,0,0.0,0,0,0,0,0,1,1
789,Germany,Male,39,7,12482846.0,2,1,1,12441108.0,0,0,2,PLATINUM,377,0,1,41609.48666666667,0,1,0,2,0,1,1
589,Germany,Female,50,5,14489504.999999998,2,1,1,3494123.0000000005,0,0,2,GOLD,831,0,1,48298.35,0,1,0,2,0,1,1
461,Germany,Female,34,5,6366393.0,1,0,1,16778428.0,0,0,1,SILVER,497,0,1,31831.965,0,0,1,2,0,1,1
637,France,Male,40,2,13346310.0,1,0,1,9316534.0,0,0,1,PLATINUM,374,0,1,66731.55,0,1,0,1,0,1,1
584,Spain,Female,48,2,21314620.0,1,1,0,7516125.0,1,0,4,DIAMOND,814,0,2,106573.1,0,1,0,2,0,0,1
579,Spain,Female,35,1,12949036.0,2,0,1,859083.0,1,1,4,GOLD,247,0,2,43163.45333333333,0,1,0,2,1,0,1
756,Germany,Male,44,10,13745209.0,1,1,0,18954390.0,0,0,5,PLATINUM,965,0,2,68726.045,0,1,0,2,0,0,1
663,France,Male,34,7,11983969.0,2,1,1,18042724.0,0,0,3,SILVER,912,0,0,0.0,0,0,0,0,0,0,0
682,France,Female,43,5,12585193.0,1,1,1,19331833.0,0,0,4,GOLD,462,0,1,62925.965,0,1,0,1,0,0,0
793,Spain,Male,52,2,11983969.0,1,1,0,15912382.0,1,1,5,GOLD,883,0,2,0.0,0,0,0,1,1,0,2
691,France,Female,31,5,4091555.0000000005,1,1,0,12621384.0,1,0,2,SILVER,402,0,1,20457.775,0,0,0,0,0,1,2
485,Spain,Female,21,5,11315722.0,1,1,1,5414150.0,0,0,4,GOLD,764,0,2,56578.61,1,1,1,3,0,0,0
635,Spain,Female,29,8,13829694.0,2,1,0,14107551.0,0,0,1,PLATINUM,608,0,2,46098.98,0,1,0,2,0,1,2
650,France,Male,37,5,10696718.0,1,0,0,2449503.0,0,0,5,PLATINUM,652,0,2,53483.59,0,1,0,1,0,0,1
735,France,Male,44,9,12068163.0,1,1,0,7483634.0,0,0,2,SILVER,520,0,2,60340.815,0,1,0,1,0,1,2
416,France,Male,32,0,11983969.0,2,0,1,87887.0,0,0,5,GOLD,884,0,1,0.0,0,0,1,1,0,0,0
754,Spain,Female,32,7,11983969.0,2,1,0,8952075.0,0,0,1,SILVER,800,0,1,0.0,0,0,0,1,0,1,2
535,France,Female,48,9,11983969.0,1,1,0,14989279.0,1,1,4,GOLD,697,0,2,0.0,0,0,0,0,1,0,2
716,Spain,Male,42,8,11983969.0,2,1,0,18080042.0,0,0,2,SILVER,427,0,1,0.0,0,0,0,1,0,1,2
539,France,Male,37,2,12760959.0,1,1,0,9864622.0,0,0,1,DIAMOND,620,0,2,63804.795,0,1,0,1,0,1,2
614,France,Female,43,6,11983969.0,2,1,1,10904153.0,0,0,1,PLATINUM,318,0,0,0.0,0,0,0,0,0,1,1
706,Spain,Male,57,7,11983969.0,1,1,0,1794116.0,1,1,1,GOLD,701,0,2,0.0,0,0,0,1,1,1,3
758,France,Female,33,7,11983969.0,2,0,0,8299647.0,0,0,4,PLATINUM,953,0,1,0.0,0,0,0,0,0,0,1
586,Spain,Female,28,2,11983969.0,2,1,1,9206735.0,0,0,5,PLATINUM,635,0,0,0.0,0,0,0,1,0,0,0
646,France,Female,73,6,9725925.0,1,0,1,10471966.0,0,0,1,PLATINUM,250,0,0,48629.625,1,0,0,0,0,1,1
631,Germany,Female,33,4,12324670.0,1,0,0,11268757.0,0,0,3,SILVER,662,0,2,61623.35,0,1,0,2,0,0,1
717,Spain,Female,22,6,10106025.0,1,0,1,8469956.0,0,0,2,GOLD,666,0,1,50530.125,1,1,0,2,0,1,1
684,France,Male,30,2,11983969.0,2,1,0,8347382.000000001,0,0,4,DIAMOND,699,0,1,0.0,0,0,0,0,0,0,1
800,France,Female,49,7,10800736.0,1,0,0,4712511.0,0,0,3,PLATINUM,855,0,2,54003.68,0,1,0,1,0,0,1
721,Spain,Female,36,2,11983969.0,2,1,1,10697780.0,0,0,5,SILVER,534,0,0,0.0,0,0,0,1,0,0,0
683,Spain,Male,29,0,13370289.000000002,1,1,0,5558254.0,1,1,1,PLATINUM,388,0,3,66851.445,0,1,0,2,1,1,3
660,Germany,Male,31,9,12518975.0,2,1,1,13987443.0,0,0,5,GOLD,612,0,1,41729.916666666664,0,1,0,2,0,0,0
704,Germany,Female,24,7,11303422.0,1,1,0,16250348.000000002,1,1,2,PLATINUM,801,0,3,56517.11,1,1,0,2,1,1,3
615,Spain,Female,41,9,10901323.0,1,1,0,19649996.0,0,0,1,PLATINUM,561,0,2,54506.615,0,1,0,2,0,1,2
667,Spain,Female,39,2,11983969.0,2,1,0,4072124.0,1,1,5,PLATINUM,308,0,2,0.0,0,0,0,1,1,0,2
682,Germany,Male,24,9,5792981.0,2,0,0,5313430.0,0,0,5,SILVER,643,0,1,19309.936666666665,1,0,0,1,0,0,1
484,France,Female,29,4,13011439.0,1,1,0,16401789.000000002,0,0,1,GOLD,249,0,3,65057.195,0,1,1,2,0,1,2
628,Germany,Male,27,5,9582649.0,2,1,0,15599696.0,0,1,2,SILVER,818,0,2,31942.163333333334,0,0,0,1,1,1,3
480,Germany,Male,44,10,12960857.0,1,1,0,547270.0,1,1,1,GOLD,775,0,4,64804.285,0,1,1,3,1,1,3
578,France,Male,30,4,16946209.0,1,1,0,11218711.0,0,1,5,DIAMOND,872,0,3,84731.045,0,1,0,1,1,0,2
512,France,Male,40,5,11983969.0,2,1,1,14645782.999999998,0,0,3,DIAMOND,435,0,0,0.0,0,0,0,0,0,0,0
484,Spain,Female,35,7,13386821.0,1,1,1,2728610.0,0,0,2,SILVER,415,0,2,66934.105,0,1,1,3,0,1,1
510,France,Female,30,0,11983969.0,2,1,1,13055347.0,0,0,2,DIAMOND,430,0,0,0.0,0,0,0,0,0,1,1
606,Germany,Male,36,5,19047948.0,2,0,0,17935189.0,0,0,5,PLATINUM,929,0,2,63493.16,0,1,0,2,0,0,1
597,Spain,Female,40,8,10199312.0,1,0,1,9477412.0,0,0,5,SILVER,681,0,1,50996.56,0,1,0,2,0,0,0
754,Germany,Female,55,3,16160881.0,1,1,0,808085.0,1,1,4,GOLD,810,0,3,80804.405,0,1,0,2,1,0,2
850,Spain,Female,45,2,12231121.0,1,1,1,1948250.0,0,0,5,GOLD,739,0,1,61155.605,0,1,0,2,0,0,0
510,France,Male,65,2,11983969.0,2,1,1,4807161.0,0,0,1,SILVER,280,0,0,0.0,1,0,0,0,0,1,1
778,Germany,Female,45,1,16215042.000000002,2,1,0,17453127.0,0,0,2,DIAMOND,250,0,2,54050.14000000001,0,1,0,2,0,1,2
636,France,Male,42,2,11983969.0,2,1,1,5547078.0,0,0,4,PLATINUM,991,0,0,0.0,0,0,0,0,0,0,0
804,France,Female,50,4,11983969.0,1,1,1,854687.0000000001,1,1,2,GOLD,482,0,1,0.0,0,0,0,0,1,1,2
514,France,Male,32,8,11983969.0,2,1,0,9585718.0,0,0,4,PLATINUM,423,0,1,0.0,0,0,0,0,0,0,1
730,France,Female,39,1,9901067.0,1,1,0,19494580.0,0,0,5,GOLD,260,0,1,49505.335,0,0,0,0,0,0,1
525,Spain,Female,37,0,11983969.0,1,0,1,13152172.0,0,0,5,SILVER,642,0,0,0.0,0,0,0,1,0,0,0
616,Spain,Male,30,5,11983969.0,2,0,1,19610851.0,0,0,4,PLATINUM,701,0,0,0.0,0,0,0,1,0,0,0
687,Germany,Female,34,7,11138818.0,2,1,0,14856476.0,0,0,4,GOLD,570,0,2,37129.39333333333,0,1,0,2,0,0,1
715,France,Female,41,8,5621485.0,2,0,0,9298261.0,1,1,4,GOLD,790,0,2,18738.283333333333,0,0,0,0,1,0,2
512,France,Female,36,3,8432777.0,2,1,0,1767536.0,0,0,5,PLATINUM,727,0,1,28109.256666666668,0,0,0,0,0,0,1
479,France,Male,40,1,11983969.0,2,0,0,11499643.0,0,0,3,SILVER,909,0,2,0.0,0,0,1,1,0,0,1
601,France,Male,32,8,9301289.0,1,1,0,8695742.0,0,0,2,GOLD,799,0,1,46506.445,0,0,0,0,0,1,2
580,Spain,Male,29,9,6171044.0,2,1,0,12807780.0,0,0,1,DIAMOND,520,0,1,20570.146666666667,0,0,0,1,0,1,2
807,France,Male,35,3,17479015.0,1,1,1,60036.0,0,0,3,SILVER,861,0,1,87395.075,0,1,0,1,0,0,0
616,Spain,Female,32,6,11983969.0,2,1,1,4300146.0,0,0,5,GOLD,512,0,0,0.0,0,0,0,1,0,0,0
721,Germany,Male,37,3,10772064.0,1,1,1,15859112.0,0,0,1,PLATINUM,478,0,1,53860.32,0,1,0,2,0,1,1
501,France,Male,57,10,11983969.0,2,1,1,4784719.0,0,0,5,PLATINUM,374,0,0,0.0,0,0,0,0,0,0,0
521,France,Male,35,6,9642384.0,1,1,0,1048844.0,0,0,4,PLATINUM,280,0,1,48211.92,0,0,0,0,0,0,1
850,Spain,Male,30,2,14104001.0,1,1,1,597820.0,0,0,2,DIAMOND,615,0,1,70520.005,0,1,0,2,0,1,1
759,France,Male,42,4,10542018.0,1,0,1,12140906.0,0,0,3,GOLD,435,0,1,52710.09,0,1,0,1,0,0,0
